ID,Species,Stomach,pH,Activity
PEMA82F,Peromyscus,Bi,ph6,72.70421106
PEMA82F,Peromyscus,Bi,ph6.5,12.27803146
PEMA82F,Peromyscus,Bi,ph7,14.56113648
PEMA82F,Peromyscus,Bi,ph7.5,34.95687468
PEMA85M,Peromyscus,Bi,ph5,100
PEMA85M,Peromyscus,Bi,ph5.5,89.97014925
PEMA85M,Peromyscus,Bi,ph6,93.55223881
PEMA85M,Peromyscus,Bi,ph6.5,18.26865672
PEMA85M,Peromyscus,Bi,ph7,18.17910448
PEMA85M,Peromyscus,Bi,ph7.5,16.50746269
PEMA14F,Peromyscus,Bi,ph5,100
PEMA14F,Peromyscus,Bi,ph5.5,73.08066084
PEMA14F,Peromyscus,Bi,ph6,76.8707483
PEMA14F,Peromyscus,Bi,ph6.5,16.52089407
PEMA14F,Peromyscus,Bi,ph7,40.37900875
PEMA14F,Peromyscus,Bi,ph7.5,24.31972789
PEMA17M,Peromyscus,Bi,ph5,45.62709341
PEMA17M,Peromyscus,Bi,ph5.5,100
PEMA17M,Peromyscus,Bi,ph6,77.11202084
PEMA17M,Peromyscus,Bi,ph6.5,24.37662821
PEMA17M,Peromyscus,Bi,ph7,5.619650167
PEMA17M,Peromyscus,Bi,ph7.5,6.475623372
